"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-05","   60","   70",,," 0118","0.00","   64","0.0","0.0",,"31","10","  390",,,,"  315","  270",,,,,"16.1","11.0",,,,,,,,,,,,,,,,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-06","   70","   90",,," 0012","0.02","   20","0.2","0.0",,"34","27","  120",,,,"  180","  180",,,,,"10.3","10.1",,,,,,,,"    1",,,,,,,,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-07","    0","    0",,," 0212","0.00","   95","0.0","0.0",,"40","26","  588",,,,"  315","  135",,,,,"9.2","8.9",,,,,,,,"    1",,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-08","   50","   80",,," 1512","0.00","   91","0.0","0.0",,"44","30","  558",,,,"  135","  135",,,,,"11.4","8.9",,,,,,,,"    1",,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-09","   90","   90",,," 1518","0.00","   65","0.0","0.0",,"43","33","  402",,,,"  135","   90",,,,,"19.5","14.1",,,,,,,,"    1",,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-10","  100","  100",,," 1806","1.17","    0","0.0","0.0",,"45","36","    0",,,,"   90","   90",,,,,"35.6","27.1","    1",,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-11","   90","  100",,," 2300","0.22","    4","0.0","0.0",,"47","31","   24",,,,"  270","  270",,,,,"44.7","33.1","    1",,,,,,,"    1",,,,,,,"    1",,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-12","   20","   10",,," 0342","0.00","  100","0.0","0.0",,"37","25","  630",,,,"  270","  270",,,,,"50.6","40.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-13","   50","   60",,," 1530","0.00","   64","0.0","0.0",,"34","15","  402",,,,"  270","  315",,,,,"44.7","31.1",,,,,,,,"    1",,,,,,,,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-14","   60","   60",,," 0024","0.00","   87","0.0","0.0",,"28","12","  552",,,,"  315","  315",,,,,"34.4","23.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-15","  100","  100",,," 1012","0.70","    0","4.6","2.0",,"38","22","    0",,,,"   90","   90","0.2",,,,"31.1","23.0","    1",,,"    1",,"    1",,,,,,,,,"    1",,"    1",,,
